Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
GRHL3	Inf	Inf	1
C1orf201	Inf	Inf	1
NIPAL3	Inf	Inf	1
RCAN3	Inf	Inf	1
C1orf130	Inf	Inf	1
SRRM1	Inf	Inf	1
CLIC4	Inf	Inf	1
RUNX3	Inf	Inf	1
AX747207	Inf	Inf	1
SYF2	Inf	Inf	1
C1orf63	Inf	Inf	1
RHD	Inf	Inf	1
AX747205	Inf	Inf	1
TMEM50A	Inf	Inf	1
RHCE	Inf	Inf	1
TMEM57	Inf	Inf	1
LDLRAP1	Inf	Inf	1
MAN1C1	Inf	Inf	1
FAM54B	Inf	Inf	1
C1orf135	Inf	Inf	1
PAQR7	Inf	Inf	1
STMN1	Inf	Inf	1
PAFAH2	Inf	Inf	1
EXTL1	Inf	Inf	1
SLC30A2	Inf	Inf	1
TRIM63	Inf	Inf	1
PDIK1L	Inf	Inf	1
FAM110D	Inf	Inf	1
ZNF593	Inf	Inf	1
CNKSR1	Inf	Inf	1
BC030768	Inf	Inf	1
CEP85	Inf	Inf	1
SH3BGRL3	Inf	Inf	1
UBXN11	Inf	Inf	1
CD52	Inf	Inf	1
AIM1L	Inf	Inf	1
ZNF683	Inf	Inf	1
LIN28A	Inf	Inf	1
DHDDS	Inf	Inf	1
AL050085	Inf	Inf	1
HMGN2	Inf	Inf	1
RPS6KA1	Inf	Inf	1
ARID1A	Inf	Inf	1
PIGV	Inf	Inf	1
ZDHHC18	Inf	Inf	1
SFN	Inf	Inf	1
GPN2	Inf	Inf	1
GPATCH3	Inf	Inf	1
NR0B2	Inf	Inf	1
NUDC	Inf	Inf	1
C1orf172	Inf	Inf	1
TRNP1	Inf	Inf	1
SLC9A1	Inf	Inf	1
WDTC1	Inf	Inf	1
TMEM222	Inf	Inf	1
SYTL1	Inf	Inf	1
MAP3K6	Inf	Inf	1
FCN3	Inf	Inf	1
CD164L2	Inf	Inf	1
GPR3	Inf	Inf	1
WASF2	Inf	Inf	1
AHDC1	Inf	Inf	1
FGR	Inf	Inf	1
IFI6	Inf	Inf	1
FAM76A	Inf	Inf	1
STX12	Inf	Inf	1
PPP1R8	Inf	Inf	1
SCARNA1	Inf	Inf	1
C1orf38	Inf	Inf	1
RPA2	Inf	Inf	1
SMPDL3B	Inf	Inf	1
XKR8	Inf	Inf	1
EYA3	Inf	Inf	1
PTAFR	Inf	Inf	1
DNAJC8	Inf	Inf	1
ATPIF1	Inf	Inf	1
SESN2	Inf	Inf	1
MED18	Inf	Inf	1
PHACTR4	Inf	Inf	1
RCC1	Inf	Inf	1
SNHG3	Inf	Inf	1
TRNAU1AP	Inf	Inf	1
SNHG12	Inf	Inf	1
SNORD99	Inf	Inf	1
SNORA61	Inf	Inf	1
SNORA44	Inf	Inf	1
SNORA16A	Inf	Inf	1
RAB42	Inf	Inf	1
TAF12	Inf	Inf	1
GMEB1	Inf	Inf	1
YTHDF2	Inf	Inf	1
OPRD1	Inf	Inf	1
EPB41	Inf	Inf	1
TMEM200B	Inf	Inf	1
SRSF4	Inf	Inf	1
MECR	Inf	Inf	1
PTPRU	Inf	Inf	1
BC042538	Inf	Inf	1
MATN1	Inf	Inf	1
LOC100129196	Inf	Inf	1
LAPTM5	Inf	Inf	1
SDC3	Inf	Inf	1
PUM1	Inf	Inf	1
SNORD85	Inf	Inf	1
PRO0611	Inf	Inf	1
SNRNP40	Inf	Inf	1
ZCCHC17	Inf	Inf	1
FABP3	Inf	Inf	1
SERINC2	Inf	Inf	1
LOC149086	Inf	Inf	1
LOC284551	Inf	Inf	1
TINAGL1	Inf	Inf	1
HCRTR1	Inf	Inf	1
AX747565	Inf	Inf	1
PEF1	Inf	Inf	1
COL16A1	Inf	Inf	1
BAI2	Inf	Inf	1
BC069257	Inf	Inf	1
SPOCD1	Inf	Inf	1
PTP4A2	Inf	Inf	1
KHDRBS1	Inf	Inf	1
TMEM39B	Inf	Inf	1
KPNA6	Inf	Inf	1
TXLNA	Inf	Inf	1
CCDC28B	Inf	Inf	1
IQCC	Inf	Inf	1
DCDC2B	Inf	Inf	1
TMEM234	Inf	Inf	1
EIF3I	Inf	Inf	1
MTMR9LP	Inf	Inf	1
FAM167B	Inf	Inf	1
LCK	Inf	Inf	1
HDAC1	Inf	Inf	1
MARCKSL1	Inf	Inf	1
TSSK3	Inf	Inf	1
BSDC1	Inf	Inf	1
ZBTB8B	Inf	Inf	1
ZBTB8A	Inf	Inf	1
ZBTB8OS	Inf	Inf	1
RBBP4	Inf	Inf	1
SYNC	Inf	Inf	1
KIAA1522	Inf	Inf	1
YARS	Inf	Inf	1
S100PBP	Inf	Inf	1
FNDC5	Inf	Inf	1
HPCA	Inf	Inf	1
TMEM54	Inf	Inf	1
RNF19B	Inf	Inf	1
BC036308	Inf	Inf	1
AK2	Inf	Inf	1
ADC	Inf	Inf	1
AX747064	Inf	Inf	1
TRIM62	Inf	Inf	1
ZNF362	Inf	Inf	1
PHC2	Inf	Inf	1
ZSCAN20	Inf	Inf	1
CSMD2	Inf	Inf	1
HMGB4	Inf	Inf	1
LOC402779	Inf	Inf	1
C1orf94	Inf	Inf	1
GJB5	Inf	Inf	1
GJB4	Inf	Inf	1
GJB3	Inf	Inf	1
GJA4	Inf	Inf	1
C1orf212	Inf	Inf	1
DLGAP3	Inf	Inf	1
LOC653160	Inf	Inf	1
ZMYM6NB	Inf	Inf	1
ZMYM6	Inf	Inf	1
ZMYM1	Inf	Inf	1
BX537811	Inf	Inf	1
AL831889	Inf	Inf	1
SFPQ	Inf	Inf	1
ZMYM4	Inf	Inf	1
AF119915	Inf	Inf	1
KIAA0319L	Inf	Inf	1
NCDN	Inf	Inf	1
PSMB2	Inf	Inf	1
C1orf216	Inf	Inf	1
CLSPN	Inf	Inf	1
EIF2C4	Inf	Inf	1
EIF2C1	Inf	Inf	1
AK025726	Inf	Inf	1
EIF2C3	Inf	Inf	1
TEKT2	Inf	Inf	1
ADPRHL2	Inf	Inf	1
COL8A2	Inf	Inf	1
TRAPPC3	Inf	Inf	1
MAP7D1	Inf	Inf	1
THRAP3	Inf	Inf	1
FAM176B	Inf	Inf	1
STK40	Inf	Inf	1
LSM10	Inf	Inf	1
OSCP1	Inf	Inf	1
MRPS15	Inf	Inf	1
CSF3R	Inf	Inf	1
GRIK3	Inf	Inf	1
ZC3H12A	Inf	Inf	1
MEAF6	Inf	Inf	1
SNIP1	Inf	Inf	1
