#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001ase.3	ANGPTL7																							
uc001asg.3	UBIAD1																							
uc001ash.4	PTCHD2																							
uc001asi.1	PTCHD2																							
uc001asj.3	FBXO2																							
uc001ask.3	FBXO44																							
uc001asl.3	FBXO44																							
uc001asm.3	FBXO44																							
uc001asn.3	FBXO44																							
uc001aso.3	FBXO6																							
uc001asp.3	MAD2L2																							
uc001asq.4	MAD2L2																							
uc001asr.1	C1orf187																							
uc001ass.1	AK125437																							
uc001ast.3	AGTRAP																							
uc001asu.3	AGTRAP																							
uc001asv.3	AGTRAP																							
uc001asw.3	AGTRAP																							
uc001asx.3	AGTRAP																							
uc001asy.1	C1orf167																							
uc001asz.3	C1orf167																							
uc001ata.3	C1orf167																							
uc001atb.1	MTHFR																							
uc001atc.2	MTHFR																							
uc001atd.1	MTHFR																							
uc001ate.4	CLCN6																							
uc001ati.3	NPPA																							
uc001atj.3	NPPB																							
uc001atk.3	KIAA2013																							
uc001atl.2	KIAA2013																							
uc001atm.3	PLOD1																							
uc001atn.4	MFN2																							
uc001ato.2	MIIP																							
uc001atq.3	TNFRSF8																							
uc001atr.3	TNFRSF8																							
uc001ats.3	TNFRSF8																							
uc001att.3	TNFRSF1B																							
uc001atu.3	TNFRSF1B																							
uc001atv.3	VPS13D																							
uc001atw.3	VPS13D																							
uc001atx.3	VPS13D																							
uc001aty.1	VPS13D																							
uc001atz.1	SNORA59B																							
uc001aub.3	DHRS3																							
uc001auc.3	DHRS3																							
uc001aud.4	DHRS3																							
uc001aue.1	DHRS3																							
uc001auf.3	AADACL4																							
uc001aug.1	AADACL3																							
uc001auh.3	C1orf158																							
uc001aui.3	PRAMEF12																							
uc001auj.2	PRAMEF1																							
uc001auk.2	PRAMEF11																							
uc001aum.1	PRAMEF2																							
uc001aun.2	PRAMEF4																							
uc001auo.3	PRAMEF10																							
uc001aup.3	PRAMEF8																							
uc001auq.2	PRAMEF6																							
uc001aur.2	PRAMEF5																							
uc001aus.1	PRAMEF5																							
uc001aut.1	PRAMEF22																							
uc001auu.1	PRAMEF6																							
uc001auv.3	PRAMEF8																							
uc001auw.1	PRAMEF9																							
uc001aux.3	PRAMEF16																							
uc001auy.2	PRAMEF8																							
uc001auz.4	PRAMEF10																							
uc001ava.1	PRAMEF9																							
uc001avb.3	LRRC38																							
uc001avc.3	PDPN																							
uc001avd.3	PDPN																							
uc001ave.3	PDPN																							
uc001avf.3	PDPN																							
uc001avg.3	PRDM2																							
uc001avh.3	PRDM2																							
uc001avi.3	PRDM2																							
uc001avk.3	PRDM2																							
uc001avl.1	AK124197																							
uc001avm.4	KAZN																							
uc001avo.2	KAZN																							
uc001avp.2	KAZN																							
uc001avq.2	KAZN																							
uc001avr.2	KAZN																							
uc001avs.4	KAZN																							
uc001avv.4	C1orf126																							
uc001avw.4	TMEM51																							
uc001avx.3	TMEM51																							
