id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
EIF5B	19910.0636159763	39813.9693660502	6.15786590234059	0.00015466596273597	-12.6585566410361	1.32626660712712e-06	0.000226602123160577
APOO	7039.02414082099	14078.048281642	0	0	-Inf	1.36923390325043e-06	0.000232434080402098
TCRBV2S1	59855.4636257324	119576.685774794	134.241476671025	0.00112263921517151	-9.7988899242534	1.41187946014164e-06	0.000238137002277223
FER	11005.2288599621	22006.2703711106	4.1873488135916	0.000190279804027523	-12.3595899349924	1.45574018803019e-06	0.000241687660469188
SESTD1	10275.210145194	20550.420290388	0	0	-Inf	1.46231281388148e-06	0.000241687660469188
OR6C70	673171.52728932	1345360.99812453	982.056454105278	0.000729957576794844	-10.4198997587433	1.47937739333236e-06	0.000241687660469188
OR6C68	673171.52728932	1345360.99812453	982.056454105278	0.000729957576794844	-10.4198997587433	1.47937739333236e-06	0.000241687660469188
OR6C76	673171.810545266	1345361.56463643	982.056454105278	0.000729957269420486	-10.419900366241	1.47937762254325e-06	0.000241687660469188
HSP90AB2P	10124.656247325	20248.5735507417	0.738943908280871	3.64936278809529e-05	-14.741995896118	1.48804351611464e-06	0.000241687660469188
MALAT1	494594.199553838	987818.64341636	1369.75569131664	0.00138664693205157	-9.49418378915673	1.51815614057301e-06	0.000245065793685626
MIR548G	51147.2648853812	102293.790826854	0.738943908280871	7.22374156151503e-06	-17.0788222898208	1.5453619215475e-06	0.000247936359022914
SRF	14827.9174787225	29652.3865525397	3.44840490531073	0.000116294346129633	-13.0699314203911	1.6848802584225e-06	0.000268682238543107
ZFAND3	88639.9222190959	177026.386677652	253.457760540339	0.0014317513072323	-9.44800336397422	1.70204520261342e-06	0.00026978441789858
NCEH1	20053.6432218611	40098.665431459	8.62101226327683	0.000214994992240149	-12.1834093232438	1.7654926130332e-06	0.000278165518767243
FAM166A	8891.59856950221	17782.4581950961	0.738943908280871	4.15546546025144e-05	-14.5546303898392	1.83483972013731e-06	0.000287370849501505
TUBA1B	81356.4760150026	162462.203730462	250.748299543309	0.00154342544780028	-9.33964848663708	1.89090137961967e-06	0.000294398799411554
PRG2	8947.51750664853	17895.0350132971	0	0	-Inf	1.91634058399429e-06	0.000296604432035634
AK026965	5977.42904534526	11954.8580906905	0	0	-Inf	2.05397433530451e-06	0.000314918790167173
ACTR3	14235.892980988	28466.1207253458	5.66523663015335	0.0001990168131729	-12.2948220630693	2.05860565174649e-06	0.000314918790167173
TIMP3	16596.7305838633	33192.9685384545	0.492629272187248	1.48413743596488e-05	-16.0400157780279	2.12706072130122e-06	0.000323509952016634
TMSB10	6953.26378291323	13904.3107341016	2.21683172484261	0.000159434852056753	-12.6147453462474	2.1454551745258e-06	0.000324432279035189
LOC641364	1589.49784806331	3178.99569612663	0	0	-Inf	2.18207045708947e-06	0.000328083644953933
CHD1	9284.64804945434	18568.0645257282	1.23157318046812	6.63274935716445e-05	-13.8800334650711	2.21352248516214e-06	0.000330545403941149
